id,title,date_of_production,image,genres
1,Deadpool,2016,http://www.joblo.com/posters/images/full/Deadpool-poster-8.jpg,action|comedy
2,Deadpool 2,2018,http://www.joblo.com/posters/images/full/deadpool2-poster-flash-xxl.jpg,action|comedy
3,The Silence of the Lambs,1991,http://www.pxleyes.com/images/contests/movie-poster-recreation/fullsize/movie-poster-recreation-529a183aacd8f_hires.jpg,thriller|action
4,The Lord of the Rings: The Fellowship of the Ring,2001,https://static.tvgcdn.net/rovi/showcards/movie/134637/thumbs/16916251_1300x1733.jpg,action|adventure
5,The Lord of the Rings: The Two Towers,2002,https://vignette.wikia.nocookie.net/lotr/images/e/ea/The_Two_Towers_Poster_02.jpg/revision/latest?cb=20150203041605,action|adventure
6,The Lord of the Rings: The Return of the King,2003,https://www.phactual.com/wp-content/uploads/2015/02/a218-1900x2817_c.jpg,action|adventure
7,A Nightmare on Elm Street,2010,https://m.media-amazon.com/images/M/MV5BODIxMTQ0NTIxM15BMl5BanBnXkFtZTcwMzY1NDAyMw@@._V1_.jpg,horror|action|thriller
8,A Nightmare on Elm Street(1984),1984,https://m.media-amazon.com/images/M/MV5BNzFjZmM1ODgtMDBkMS00NWFlLTg2YmUtZjc3ZTgxMjE1OTI2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SY1000_SX650_AL_.jpg,horror|action|thriller
9,Avengers: Infinity War,2018,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg,action|adventure
10,Harry Potter and the Sorcerer's Stone,2001,https://m.media-amazon.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg,adventure
